id,category
222,catering.fast_food.soup
223,catering.fast_food.salad
224,catering.fast_food.hot_dog
225,catering.cafe
226,catering.cafe.waffle
227,catering.cafe.ice_cream
228,catering.cafe.coffee_shop
229,catering.cafe.donut
230,catering.cafe.crepe
231,catering.cafe.bubble_tea
232,catering.cafe.cake
233,catering.cafe.frozen_yogurt
234,catering.cafe.dessert
235,catering.cafe.coffee
236,catering.cafe.tea
237,catering.food_court
238,catering.bar
239,catering.pub
240,catering.ice_cream
241,catering.biergarten
242,catering.taproom
243,education
244,education.school
245,education.driving_school
246,education.music_school
247,education.language_school
248,education.library
249,education.college
250,education.university
251,childcare
252,childcare.kindergarten
253,entertainment
254,entertainment.culture
255,entertainment.culture.theatre
256,entertainment.culture.arts_centre
257,entertainment.culture.gallery
258,entertainment.zoo
259,entertainment.aquarium
260,entertainment.planetarium
261,entertainment.museum
262,entertainment.cinema
263,entertainment.amusement_arcade
264,entertainment.escape_game
265,entertainment.miniature_golf
266,entertainment.bowling_alley
267,entertainment.flying_fox
268,entertainment.theme_park
269,entertainment.water_park
270,entertainment.activity_park
271,entertainment.activity_park.trampoline
272,entertainment.activity_park.climbing
273,healthcare
274,healthcare.clinic_or_praxis
275,healthcare.clinic_or_praxis.allergology
276,healthcare.clinic_or_praxis.vascular_surgery
277,healthcare.clinic_or_praxis.urology
278,healthcare.clinic_or_praxis.trauma
279,healthcare.clinic_or_praxis.rheumatology
280,healthcare.clinic_or_praxis.radiology
281,healthcare.clinic_or_praxis.pulmonology
282,healthcare.clinic_or_praxis.psychiatry
283,healthcare.clinic_or_praxis.paediatrics
284,healthcare.clinic_or_praxis.otolaryngology
285,healthcare.clinic_or_praxis.orthopaedics
286,healthcare.clinic_or_praxis.ophthalmology
287,healthcare.clinic_or_praxis.occupational
288,healthcare.clinic_or_praxis.gynaecology
289,healthcare.clinic_or_praxis.general
290,healthcare.clinic_or_praxis.gastroenterology
291,healthcare.clinic_or_praxis.endocrinology
292,healthcare.clinic_or_praxis.dermatology
293,healthcare.clinic_or_praxis.cardiology
294,healthcare.dentist
295,healthcare.dentist.orthodontics
296,healthcare.hospital
297,healthcare.pharmacy
298,heritage
299,heritage.unesco
300,leisure
301,leisure.picnic
302,leisure.picnic.picnic_site
303,leisure.picnic.picnic_table
304,leisure.picnic.bbq
305,leisure.playground
306,leisure.spa
307,leisure.spa.public_bath
308,leisure.spa.sauna
309,leisure.park
310,leisure.park.garden
311,leisure.park.nature_reserve
312,man_made
313,man_made.pier
314,man_made.breakwater
315,man_made.tower
316,man_made.water_tower
317,man_made.bridge
318,man_made.lighthouse
319,man_made.windmill
320,man_made.watermill
321,natural
322,natural.forest
323,natural.water
324,natural.water.spring
325,natural.water.reef
326,natural.water.hot_spring
327,natural.water.geyser
328,natural.water.sea
329,natural.mountain
330,natural.mountain.peak
331,natural.mountain.glacier
332,natural.mountain.cliff
333,natural.mountain.rock
334,natural.mountain.cave_entrance
335,natural.sand
336,natural.sand.dune
337,natural.protected_area
338,national_park
339,office
340,office.government
341,office.government.administrative
342,office.government.register_office
343,office.government.tax
344,office.government.public_service
345,office.government.ministry
346,office.government.healthcare
347,office.government.prosecutor
348,office.government.transportation
349,office.government.social_services
350,office.government.legislative
351,office.government.education
352,office.government.customs
353,office.government.social_security
354,office.government.environment
355,office.government.migration
356,office.government.cadaster
357,office.government.forestry
358,office.government.agriculture
359,office.company
360,office.estate_agent
361,office.insurance
362,office.lawyer
363,office.telecommunication
364,office.educational_institution
365,office.association
366,office.non_profit
367,office.diplomatic
368,office.it
369,office.accountant
370,office.employment_agency
371,office.religion
372,office.research
373,office.architect
374,office.financial
375,office.tax_advisor
376,office.advertising_agency
377,office.notary
378,office.newspaper
379,office.political_party
380,office.logistics
381,office.energy_supplier
382,office.travel_agent
383,office.financial_advisor
384,office.consulting
385,office.foundation
386,office.coworking
387,office.water_utility
388,office.forestry
389,office.charity
390,office.security
391,parking
392,parking.cars
393,parking.cars.surface
394,parking.cars.multistorey
395,parking.cars.underground
396,parking.cars.rooftop
397,parking.surface
398,parking.multistorey
399,parking.underground
400,parking.rooftop
401,parking.motorcycle
402,parking.bicycles
403,pet
404,pet.shop
405,pet.veterinary
406,pet.service
407,pet.dog_park
408,rental
409,rental.car
410,rental.storage
411,rental.bicycle
412,rental.boat
413,rental.ski
414,service
415,service.financial
416,service.financial.atm
417,service.financial.payment_terminal
418,service.financial.bank
419,service.financial.bureau_de_change
420,service.financial.money_transfer
421,service.financial.money_lender
422,service.cleaning
423,service.cleaning.lavoir
424,service.cleaning.laundry
425,service.cleaning.dry_cleaning
426,service.travel_agency
427,service.post
428,service.post.office
429,service.post.box
430,service.police
431,service.vehicle
432,service.vehicle.fuel
433,service.vehicle.car_wash
434,service.vehicle.charging_station
435,service.vehicle.repair
436,service.vehicle.repair.car
437,service.vehicle.repair.motorcycle
438,service.beauty
439,service.beauty.hairdresser
440,service.beauty.spa
441,service.beauty.massage
442,service.tailor
443,service.funeral_directors
444,service.bookmaker
445,service.estate_agent
446,service.locksmith
447,service.taxi
448,service.social_facility
449,service.social_facility.shelter
450,service.social_facility.food
451,service.social_facility.clothers
452,service.recycling
453,service.recycling.container
454,service.recycling.centre
455,service.recycling.bin
456,tourism
457,tourism.information
458,tourism.information.office
459,tourism.information.map
460,tourism.information.ranger_station
461,tourism.attraction
462,tourism.attraction.artwork
463,tourism.attraction.viewpoint
464,tourism.attraction.fountain
465,tourism.attraction.clock
466,tourism.sights
467,tourism.sights.place_of_worship
468,tourism.sights.place_of_worship.church
469,tourism.sights.place_of_worship.chapel
470,tourism.sights.place_of_worship.cathedral
471,tourism.sights.place_of_worship.mosque
472,tourism.sights.place_of_worship.synagogue
473,tourism.sights.place_of_worship.temple
474,tourism.sights.place_of_worship.shrine
475,tourism.sights.monastery
476,tourism.sights.city_hall
477,tourism.sights.conference_centre
478,tourism.sights.lighthouse
479,tourism.sights.windmill
480,tourism.sights.tower
481,tourism.sights.battlefield
482,tourism.sights.fort
483,tourism.sights.castle
484,tourism.sights.ruines
485,tourism.sights.archaeological_site
486,tourism.sights.city_gate
487,tourism.sights.bridge
488,tourism.sights.memorial
